dayOfWeek,isWeekend,isHoliday,sessionCount,deepWorkMinutes,calendarEventCount,workload_score,is_high_intensity,is_very_productive,day_category,estimated_duration,sessions_x_deepwork,deepwork_per_session,sessionCount_sq,deepwork_ratio,is_monday,is_friday,category,category_name,startHour,endHour
5,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,🚫 No Work,0,0
2,0,0,7,324,5,242.4,1,1,0,12.0,22.68,40.5,49,0.675,1,0,1,🌅 Early-Midday (6am-2pm),2,10
2,0,0,3,136,3,103.6,0,0,0,12.0,4.08,34.0,9,0.2833333333333333,1,0,1,🌅 Early-Midday (6am-2pm),13,19
3,0,0,4,80,4,128.0,0,0,0,12.0,3.2,16.0,16,0.16666666666666666,0,0,1,🌅 Early-Midday (6am-2pm),12,20
6,0,0,5,295,2,179.5,1,0,0,12.0,14.75,49.166666666666664,25,0.6145833333333334,0,1,1,🌅 Early-Midday (6am-2pm),10,18
4,0,0,3,98,0,99.8,0,0,0,12.0,2.94,24.5,9,0.20416666666666666,0,0,2,🌆 Afternoon-Evening (3pm-8pm),18,23
5,0,0,5,194,3,169.4,1,0,0,12.0,9.7,32.333333333333336,25,0.4041666666666667,0,0,1,🌅 Early-Midday (6am-2pm),14,23
5,0,0,9,448,4,314.8,1,1,0,12.0,40.32,44.8,81,0.9333333333333333,0,0,1,🌅 Early-Midday (6am-2pm),5,11
7,1,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,🚫 No Work,0,0
6,0,0,8,266,4,266.6,1,1,0,12.0,21.28,29.555555555555557,64,0.5541666666666667,0,1,1,🌅 Early-Midday (6am-2pm),4,8
2,0,0,4,100,1,130.0,0,0,0,12.0,4.0,20.0,16,0.20833333333333334,1,0,2,🌆 Afternoon-Evening (3pm-8pm),19,23
5,0,0,5,76,2,157.6,0,0,0,12.0,3.8,12.666666666666666,25,0.15833333333333333,0,0,1,🌅 Early-Midday (6am-2pm),13,19
3,0,0,12,328,5,392.8,1,1,0,12.0,39.36,25.23076923076923,144,0.6833333333333333,0,0,1,🌅 Early-Midday (6am-2pm),7,16
6,0,0,8,203,6,260.3,1,0,0,12.0,16.24,22.555555555555557,64,0.42291666666666666,0,1,1,🌅 Early-Midday (6am-2pm),8,18
2,0,0,6,258,5,205.8,1,0,0,12.0,15.48,36.857142857142854,36,0.5375,1,0,1,🌅 Early-Midday (6am-2pm),11,16
4,0,0,7,384,6,248.4,1,1,0,12.0,26.88,48.0,49,0.8,0,0,1,🌅 Early-Midday (6am-2pm),3,13
4,0,0,10,259,7,325.9,1,1,0,12.0,25.9,23.545454545454547,100,0.5395833333333333,0,0,1,🌅 Early-Midday (6am-2pm),3,10
2,0,0,4,173,2,137.3,0,0,0,12.0,6.92,34.6,16,0.36041666666666666,1,0,2,🌆 Afternoon-Evening (3pm-8pm),16,23
3,0,0,11,384,3,368.4,1,1,0,12.0,42.24,32.0,121,0.8,0,0,1,🌅 Early-Midday (6am-2pm),4,12
5,0,0,6,131,3,193.1,0,0,0,12.0,7.86,18.714285714285715,36,0.27291666666666664,0,0,1,🌅 Early-Midday (6am-2pm),13,18
4,0,0,12,420,4,402.0,1,1,0,12.0,50.4,32.30769230769231,144,0.875,0,0,1,🌅 Early-Midday (6am-2pm),1,8
4,0,0,12,442,8,404.2,1,1,0,12.0,53.04,34.0,144,0.9208333333333333,0,0,1,🌅 Early-Midday (6am-2pm),4,10
2,0,0,12,417,5,401.7,1,1,0,12.0,50.04,32.07692307692308,144,0.86875,1,0,1,🌅 Early-Midday (6am-2pm),6,10
4,0,0,8,242,4,264.2,1,1,0,12.0,19.36,26.88888888888889,64,0.5041666666666667,0,0,1,🌅 Early-Midday (6am-2pm),9,13
2,0,0,12,476,4,407.6,1,1,0,12.0,57.12,36.61538461538461,144,0.9916666666666667,1,0,1,🌅 Early-Midday (6am-2pm),6,12
2,0,0,6,175,1,197.5,0,0,0,12.0,10.5,25.0,36,0.3645833333333333,1,0,1,🌅 Early-Midday (6am-2pm),14,18
5,0,0,11,421,3,372.1,1,1,0,12.0,46.31,35.083333333333336,121,0.8770833333333333,0,0,1,🌅 Early-Midday (6am-2pm),5,11
4,0,0,5,266,4,176.6,1,0,0,12.0,13.3,44.333333333333336,25,0.5541666666666667,0,0,1,🌅 Early-Midday (6am-2pm),8,18
2,0,0,2,98,0,69.8,0,0,0,12.0,1.96,32.666666666666664,4,0.20416666666666666,1,0,2,🌆 Afternoon-Evening (3pm-8pm),17,21
6,0,0,5,169,3,166.9,0,0,0,12.0,8.45,28.166666666666668,25,0.35208333333333336,0,1,1,🌅 Early-Midday (6am-2pm),13,17
5,0,0,3,210,4,111.0,1,0,0,12.0,6.3,52.5,9,0.4375,0,0,1,🌅 Early-Midday (6am-2pm),12,17
6,0,0,11,410,4,371.0,1,1,0,12.0,45.1,34.166666666666664,121,0.8541666666666666,0,1,1,🌅 Early-Midday (6am-2pm),3,11
6,0,0,12,328,6,392.8,1,1,0,12.0,39.36,25.23076923076923,144,0.6833333333333333,0,1,1,🌅 Early-Midday (6am-2pm),2,10
6,0,0,8,465,7,286.5,1,1,0,12.0,37.2,51.666666666666664,64,0.96875,0,1,1,🌅 Early-Midday (6am-2pm),1,10
6,0,0,11,457,4,375.7,1,1,0,12.0,50.27,38.083333333333336,121,0.9520833333333333,0,1,1,🌅 Early-Midday (6am-2pm),4,10
5,0,0,2,123,1,72.3,0,0,0,12.0,2.46,41.0,4,0.25625,0,0,2,🌆 Afternoon-Evening (3pm-8pm),18,23
2,0,0,5,333,2,183.3,1,0,0,12.0,16.65,55.5,25,0.69375,1,0,1,🌅 Early-Midday (6am-2pm),9,14
2,0,0,4,73,2,127.3,0,0,0,12.0,2.92,14.6,16,0.15208333333333332,1,0,2,🌆 Afternoon-Evening (3pm-8pm),17,23
4,0,0,5,350,2,185.0,1,0,0,12.0,17.5,58.333333333333336,25,0.7291666666666666,0,0,1,🌅 Early-Midday (6am-2pm),8,14
4,0,0,3,66,1,96.6,0,0,0,12.0,1.98,16.5,9,0.1375,0,0,2,🌆 Afternoon-Evening (3pm-8pm),18,23
3,0,0,7,460,8,256.0,1,1,0,12.0,32.2,57.5,49,0.9583333333333334,0,0,1,🌅 Early-Midday (6am-2pm),1,7
3,0,0,4,162,4,136.2,0,0,0,12.0,6.48,32.4,16,0.3375,0,0,1,🌅 Early-Midday (6am-2pm),13,19
5,0,0,2,50,1,65.0,0,0,0,12.0,1.0,16.666666666666668,4,0.10416666666666667,0,0,2,🌆 Afternoon-Evening (3pm-8pm),18,23
6,0,0,6,272,6,207.2,1,0,0,12.0,16.32,38.857142857142854,36,0.5666666666666667,0,1,1,🌅 Early-Midday (6am-2pm),9,16
2,0,0,5,194,3,169.4,1,0,0,12.0,9.7,32.333333333333336,25,0.4041666666666667,1,0,1,🌅 Early-Midday (6am-2pm),10,19
4,0,0,5,137,4,163.7,0,0,0,12.0,6.85,22.833333333333332,25,0.28541666666666665,0,0,1,🌅 Early-Midday (6am-2pm),11,17
3,0,0,9,209,6,290.9,1,0,0,12.0,18.81,20.9,81,0.4354166666666667,0,0,1,🌅 Early-Midday (6am-2pm),8,17
2,0,0,7,247,5,234.7,1,1,0,12.0,17.29,30.875,49,0.5145833333333333,1,0,1,🌅 Early-Midday (6am-2pm),8,17
5,0,0,5,137,3,163.7,0,0,0,12.0,6.85,22.833333333333332,25,0.28541666666666665,0,0,2,🌆 Afternoon-Evening (3pm-8pm),15,23
2,0,0,3,98,2,99.8,0,0,0,12.0,2.94,24.5,9,0.20416666666666666,1,0,1,🌅 Early-Midday (6am-2pm),12,22
4,0,0,10,331,3,333.1,1,1,0,12.0,33.1,30.09090909090909,100,0.6895833333333333,0,0,1,🌅 Early-Midday (6am-2pm),2,6
6,0,1,6,66,2,186.6,0,0,2,12.0,3.96,9.428571428571429,36,0.1375,0,1,1,🌅 Early-Midday (6am-2pm),12,21
6,0,0,10,475,8,347.5,1,1,0,12.0,47.5,43.18181818181818,100,0.9895833333333334,0,1,1,🌅 Early-Midday (6am-2pm),7,16
5,0,0,3,187,3,108.7,1,0,0,12.0,5.61,46.75,9,0.38958333333333334,0,0,1,🌅 Early-Midday (6am-2pm),14,23
4,0,0,4,126,2,132.6,0,0,0,12.0,5.04,25.2,16,0.2625,0,0,1,🌅 Early-Midday (6am-2pm),14,20
2,0,0,2,45,0,64.5,0,0,0,12.0,0.9,15.0,4,0.09375,1,0,2,🌆 Afternoon-Evening (3pm-8pm),20,23
6,0,0,5,125,1,162.5,0,0,0,12.0,6.25,20.833333333333332,25,0.2604166666666667,0,1,1,🌅 Early-Midday (6am-2pm),12,19
2,0,0,5,99,3,159.9,0,0,0,12.0,4.95,16.5,25,0.20625,1,0,2,🌆 Afternoon-Evening (3pm-8pm),18,23
3,0,0,3,229,1,112.9,1,0,0,12.0,6.87,57.25,9,0.47708333333333336,0,0,1,🌅 Early-Midday (6am-2pm),12,18
6,0,0,7,381,3,248.1,1,1,0,12.0,26.67,47.625,49,0.79375,0,1,1,🌅 Early-Midday (6am-2pm),7,13
5,0,1,5,178,0,167.8,0,0,2,12.0,8.9,29.666666666666668,25,0.37083333333333335,0,0,2,🌆 Afternoon-Evening (3pm-8pm),19,23
2,0,0,7,278,4,237.8,1,1,0,12.0,19.46,34.75,49,0.5791666666666667,1,0,1,🌅 Early-Midday (6am-2pm),10,17
2,0,0,12,333,5,393.3,1,1,0,12.0,39.96,25.615384615384617,144,0.69375,1,0,1,🌅 Early-Midday (6am-2pm),2,11
4,0,0,4,41,2,124.1,0,0,0,12.0,1.64,8.2,16,0.08541666666666667,0,0,2,🌆 Afternoon-Evening (3pm-8pm),16,20
4,0,0,3,91,2,99.1,0,0,0,12.0,2.73,22.75,9,0.18958333333333333,0,0,1,🌅 Early-Midday (6am-2pm),13,21
6,0,0,10,338,5,333.8,1,1,0,12.0,33.8,30.727272727272727,100,0.7041666666666667,0,1,1,🌅 Early-Midday (6am-2pm),7,12
2,0,0,9,457,6,315.7,1,1,0,12.0,41.13,45.7,81,0.9520833333333333,1,0,1,🌅 Early-Midday (6am-2pm),5,12
3,0,0,9,292,4,299.2,1,1,0,12.0,26.28,29.2,81,0.6083333333333333,0,0,1,🌅 Early-Midday (6am-2pm),6,13
6,0,0,4,234,2,143.4,1,0,0,12.0,9.36,46.8,16,0.4875,0,1,1,🌅 Early-Midday (6am-2pm),13,19
2,0,0,4,176,3,137.6,0,0,0,12.0,7.04,35.2,16,0.36666666666666664,1,0,1,🌅 Early-Midday (6am-2pm),13,20
3,0,0,5,115,1,161.5,0,0,0,12.0,5.75,19.166666666666668,25,0.23958333333333334,0,0,2,🌆 Afternoon-Evening (3pm-8pm),19,23
5,0,0,11,408,5,370.8,1,1,0,12.0,44.88,34.0,121,0.85,0,0,1,🌅 Early-Midday (6am-2pm),4,12
6,0,0,4,172,2,137.2,0,0,0,12.0,6.88,34.4,16,0.35833333333333334,0,1,1,🌅 Early-Midday (6am-2pm),11,20
3,0,0,3,130,2,103.0,0,0,0,12.0,3.9,32.5,9,0.2708333333333333,0,0,2,🌆 Afternoon-Evening (3pm-8pm),16,20
2,0,0,7,126,2,222.6,0,0,0,12.0,8.82,15.75,49,0.2625,1,0,1,🌅 Early-Midday (6am-2pm),11,19
5,0,0,6,177,2,197.7,0,0,0,12.0,10.62,25.285714285714285,36,0.36875,0,0,1,🌅 Early-Midday (6am-2pm),14,19
4,0,1,2,176,1,77.6,0,0,2,12.0,3.52,58.666666666666664,4,0.36666666666666664,0,0,2,🌆 Afternoon-Evening (3pm-8pm),16,23
2,0,0,7,293,3,239.3,1,1,0,12.0,20.51,36.625,49,0.6104166666666667,1,0,1,🌅 Early-Midday (6am-2pm),11,16
2,0,0,3,109,1,100.9,0,0,0,12.0,3.27,27.25,9,0.22708333333333333,1,0,1,🌅 Early-Midday (6am-2pm),13,19
1,1,0,0,0,0,0.0,0,0,1,0.0,0.0,0.0,0,0.0,0,0,0,🚫 No Work,0,0
3,0,0,10,315,8,331.5,1,1,0,12.0,31.5,28.636363636363637,100,0.65625,0,0,1,🌅 Early-Midday (6am-2pm),4,10
2,0,0,3,238,2,113.8,1,0,0,12.0,7.14,59.5,9,0.49583333333333335,1,0,1,🌅 Early-Midday (6am-2pm),14,23
3,0,0,10,368,6,336.8,1,1,0,12.0,36.8,33.45454545454545,100,0.7666666666666667,0,0,1,🌅 Early-Midday (6am-2pm),4,8
4,0,0,3,187,4,108.7,1,0,0,12.0,5.61,46.75,9,0.38958333333333334,0,0,1,🌅 Early-Midday (6am-2pm),13,22
6,0,0,3,102,0,100.2,0,0,0,12.0,3.06,25.5,9,0.2125,0,1,2,🌆 Afternoon-Evening (3pm-8pm),19,23
2,0,0,11,455,8,375.5,1,1,0,12.0,50.05,37.916666666666664,121,0.9479166666666666,1,0,1,🌅 Early-Midday (6am-2pm),4,11
2,0,0,3,69,2,96.9,0,0,0,12.0,2.07,17.25,9,0.14375,1,0,2,🌆 Afternoon-Evening (3pm-8pm),17,21
5,0,0,5,40,1,154.0,0,0,0,12.0,2.0,6.666666666666667,25,0.08333333333333333,0,0,2,🌆 Afternoon-Evening (3pm-8pm),20,23
4,0,0,10,387,6,338.7,1,1,0,12.0,38.7,35.18181818181818,100,0.80625,0,0,1,🌅 Early-Midday (6am-2pm),2,8
2,0,0,5,102,4,160.2,0,0,0,12.0,5.1,17.0,25,0.2125,1,0,1,🌅 Early-Midday (6am-2pm),12,16
6,0,0,5,209,3,170.9,1,0,0,12.0,10.45,34.833333333333336,25,0.4354166666666667,0,1,1,🌅 Early-Midday (6am-2pm),11,19
4,0,0,12,424,5,402.4,1,1,0,12.0,50.88,32.61538461538461,144,0.8833333333333333,0,0,1,🌅 Early-Midday (6am-2pm),1,5
2,0,0,4,98,1,129.8,0,0,0,12.0,3.92,19.6,16,0.20416666666666666,1,0,2,🌆 Afternoon-Evening (3pm-8pm),20,23
5,0,0,6,152,1,195.2,0,0,0,12.0,9.12,21.714285714285715,36,0.31666666666666665,0,0,1,🌅 Early-Midday (6am-2pm),12,18
6,0,0,4,104,0,130.4,0,0,0,12.0,4.16,20.8,16,0.21666666666666667,0,1,2,🌆 Afternoon-Evening (3pm-8pm),18,22
5,0,0,3,71,2,97.1,0,0,0,12.0,2.13,17.75,9,0.14791666666666667,0,0,1,🌅 Early-Midday (6am-2pm),14,23
2,0,0,10,308,4,330.8,1,1,0,12.0,30.8,28.0,100,0.6416666666666667,1,0,1,🌅 Early-Midday (6am-2pm),2,9
4,0,0,5,206,3,170.6,1,0,0,12.0,10.3,34.333333333333336,25,0.42916666666666664,0,0,1,🌅 Early-Midday (6am-2pm),12,22
5,0,0,4,127,1,132.7,0,0,0,12.0,5.08,25.4,16,0.26458333333333334,0,0,1,🌅 Early-Midday (6am-2pm),13,19
2,0,1,11,390,4,369.0,1,1,2,12.0,42.9,32.5,121,0.8125,1,0,1,🌅 Early-Midday (6am-2pm),7,12
5,0,0,6,286,5,208.6,1,0,0,12.0,17.16,40.857142857142854,36,0.5958333333333333,0,0,1,🌅 Early-Midday (6am-2pm),10,15
3,0,0,9,473,3,317.3,1,1,0,12.0,42.57,47.3,81,0.9854166666666667,0,0,1,🌅 Early-Midday (6am-2pm),5,12
2,0,0,11,445,4,374.5,1,1,0,12.0,48.95,37.083333333333336,121,0.9270833333333334,1,0,1,🌅 Early-Midday (6am-2pm),3,8
3,0,0,10,478,6,347.8,1,1,0,12.0,47.8,43.45454545454545,100,0.9958333333333333,0,0,1,🌅 Early-Midday (6am-2pm),3,8
6,0,0,12,319,8,391.9,1,1,0,12.0,38.28,24.53846153846154,144,0.6645833333333333,0,1,1,🌅 Early-Midday (6am-2pm),3,13
3,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,🚫 No Work,0,0
2,0,0,7,247,4,234.7,1,1,0,12.0,17.29,30.875,49,0.5145833333333333,1,0,1,🌅 Early-Midday (6am-2pm),9,15
2,0,0,4,149,0,134.9,0,0,0,12.0,5.96,29.8,16,0.3104166666666667,1,0,2,🌆 Afternoon-Evening (3pm-8pm),19,23
6,0,0,9,239,3,293.9,1,0,0,12.0,21.51,23.9,81,0.4979166666666667,0,1,1,🌅 Early-Midday (6am-2pm),9,14
2,0,0,6,211,2,201.1,1,0,0,12.0,12.66,30.142857142857142,36,0.4395833333333333,1,0,1,🌅 Early-Midday (6am-2pm),11,20
5,0,0,9,263,2,296.3,1,1,0,12.0,23.67,26.3,81,0.5479166666666667,0,0,1,🌅 Early-Midday (6am-2pm),9,15
6,0,0,9,475,6,317.5,1,1,0,12.0,42.75,47.5,81,0.9895833333333334,0,1,1,🌅 Early-Midday (6am-2pm),1,5
3,0,0,3,145,0,104.5,0,0,0,12.0,4.35,36.25,9,0.3020833333333333,0,0,2,🌆 Afternoon-Evening (3pm-8pm),19,23
5,0,0,2,101,0,70.1,0,0,0,12.0,2.02,33.666666666666664,4,0.21041666666666667,0,0,2,🌆 Afternoon-Evening (3pm-8pm),17,23
6,0,0,7,318,4,241.8,1,1,0,12.0,22.26,39.75,49,0.6625,0,1,1,🌅 Early-Midday (6am-2pm),6,16
2,0,0,3,104,2,100.4,0,0,0,12.0,3.12,26.0,9,0.21666666666666667,1,0,2,🌆 Afternoon-Evening (3pm-8pm),20,23
3,0,0,7,317,6,241.7,1,1,0,12.0,22.19,39.625,49,0.6604166666666667,0,0,1,🌅 Early-Midday (6am-2pm),5,10
3,0,1,0,0,0,0.0,0,0,2,0.0,0.0,0.0,0,0.0,0,0,0,🚫 No Work,0,0
2,0,0,5,39,0,153.9,0,0,0,12.0,1.95,6.5,25,0.08125,1,0,2,🌆 Afternoon-Evening (3pm-8pm),17,21
5,0,0,7,258,7,235.8,1,1,0,12.0,18.06,32.25,49,0.5375,0,0,1,🌅 Early-Midday (6am-2pm),2,6
5,0,0,7,244,5,234.4,1,1,0,12.0,17.08,30.5,49,0.5083333333333333,0,0,1,🌅 Early-Midday (6am-2pm),5,11
2,0,0,4,166,3,136.6,0,0,0,12.0,6.64,33.2,16,0.3458333333333333,1,0,2,🌆 Afternoon-Evening (3pm-8pm),15,21
4,0,0,6,136,1,193.6,0,0,0,12.0,8.16,19.428571428571427,36,0.2833333333333333,0,0,1,🌅 Early-Midday (6am-2pm),13,23
6,0,0,9,188,2,288.8,1,0,0,12.0,16.92,18.8,81,0.39166666666666666,0,1,1,🌅 Early-Midday (6am-2pm),9,13
3,0,0,5,167,5,166.7,0,0,0,12.0,8.35,27.833333333333332,25,0.34791666666666665,0,0,1,🌅 Early-Midday (6am-2pm),10,17
