dayOfWeek,isWeekend,isHoliday,sessionCount,deepWorkMinutes,calendarEventCount,startHour,endHour,workload_score,is_high_intensity,is_very_productive,day_category,estimated_duration,sessions_x_deepwork,events_x_sessions,deepwork_per_session,sessionCount_sq,deepWork_sq,sessionCount_log,deepWork_log,deepwork_ratio,session_density,is_monday,is_friday,is_wednesday,cat_6,cat_4,cat_5,cat_binary,cat_3,predicted_category,category_name
4,0,0,11,352,8,5,10,365.2,1,1,0,12.0,38.72,88,29.333333333333332,121,34.41777777777777,2.4849066497880004,5.8664680569332965,0.7333333333333333,0.9166666666666666,0,0,1,1,1,1,1,1,1,Early-Midday
6,0,0,11,240,6,3,10,354.0,1,1,0,12.0,26.4,66,20.0,121,16.0,2.4849066497880004,5.484796933490655,0.5,0.9166666666666666,0,1,0,1,1,1,1,1,1,Early-Midday
5,0,0,5,180,2,9,19,168.0,0,0,0,12.0,9.0,10,30.0,25,9.0,1.791759469228055,5.198497031265826,0.375,0.4166666666666667,0,0,0,2,1,2,1,1,1,Early-Midday
5,0,0,7,303,5,7,17,240.3,1,1,0,12.0,21.21,35,37.875,49,25.502499999999998,2.0794415416798357,5.717027701406222,0.63125,0.5833333333333334,0,0,0,1,1,1,1,1,1,Early-Midday
6,0,0,6,98,1,13,17,189.8,0,0,0,12.0,5.88,6,14.0,36,2.667777777777778,1.9459101490553132,4.59511985013459,0.20416666666666666,0.5,0,1,0,4,2,3,2,1,1,Early-Midday
6,0,0,12,340,7,4,8,394.0,1,1,0,12.0,40.8,84,26.153846153846153,144,32.111111111111114,2.5649493574615367,5.831882477283517,0.7083333333333334,1.0,0,1,0,1,1,1,1,1,1,Early-Midday
6,0,0,6,221,4,14,23,202.1,1,0,0,12.0,13.26,24,31.571428571428573,36,13.566944444444443,1.9459101490553132,5.402677381872279,0.46041666666666664,0.5,0,1,0,4,2,3,2,1,1,Early-Midday
3,0,0,6,210,6,8,14,201.0,1,0,0,12.0,12.6,36,30.0,36,12.25,1.9459101490553132,5.351858133476067,0.4375,0.5,0,0,0,1,1,1,1,1,1,Early-Midday
4,0,0,8,308,5,8,16,270.8,1,1,0,12.0,24.64,40,34.22222222222222,64,26.351111111111116,2.1972245773362196,5.733341276897746,0.6416666666666667,0.6666666666666666,0,0,1,1,1,1,1,1,1,Early-Midday
6,0,0,10,286,3,6,13,328.6,1,1,0,12.0,28.6,30,26.0,100,22.72111111111111,2.3978952727983707,5.659482215759621,0.5958333333333333,0.8333333333333334,0,1,0,1,1,1,1,1,1,Early-Midday
3,0,0,7,306,8,6,10,240.6,1,1,0,12.0,21.42,56,38.25,49,26.009999999999998,2.0794415416798357,5.726847747587197,0.6375,0.5833333333333334,0,0,0,1,1,1,1,1,1,Early-Midday
3,0,0,9,337,6,9,15,303.7,1,1,0,12.0,30.33,54,33.7,81,31.54694444444444,2.302585092994046,5.823045895483019,0.7020833333333333,0.75,0,0,0,2,1,2,1,1,1,Early-Midday
6,0,0,2,135,0,20,23,73.5,0,0,0,12.0,2.7,0,45.0,4,5.0625,1.0986122886681098,4.912654885736052,0.28125,0.16666666666666666,0,1,0,5,3,4,2,2,2,Afternoon-Evening
3,0,1,6,297,5,8,12,209.7,1,0,2,12.0,17.82,30,42.42857142857143,36,24.5025,1.9459101490553132,5.697093486505405,0.61875,0.5,0,0,0,1,1,1,1,1,1,Early-Midday
6,0,0,11,303,6,6,11,360.3,1,1,0,12.0,33.33,66,25.25,121,25.502499999999998,2.4849066497880004,5.717027701406222,0.63125,0.9166666666666666,0,1,0,1,1,1,1,1,1,Early-Midday
2,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,No Work
4,0,0,7,347,4,7,13,244.7,1,1,0,12.0,24.29,28,43.375,49,33.44694444444444,2.0794415416798357,5.8522024797744745,0.7229166666666667,0.5833333333333334,0,0,1,1,1,1,1,1,1,Early-Midday
4,0,0,8,477,5,1,5,287.7,1,1,0,12.0,38.16,40,53.0,64,63.2025,2.1972245773362196,6.169610732491456,0.99375,0.6666666666666666,0,0,1,1,1,1,1,1,1,Early-Midday
5,0,0,4,107,3,17,23,130.7,0,0,0,12.0,4.28,12,21.4,16,3.180277777777778,1.6094379124341003,4.68213122712422,0.22291666666666668,0.3333333333333333,0,0,0,5,3,4,2,2,2,Afternoon-Evening
5,0,0,2,158,3,19,23,75.8,0,0,0,12.0,3.16,6,52.666666666666664,4,6.934444444444444,1.0986122886681098,5.0689042022202315,0.32916666666666666,0.16666666666666666,0,0,0,5,3,4,2,2,2,Afternoon-Evening
5,0,0,10,359,3,4,9,335.9,1,1,0,12.0,35.9,30,32.63636363636363,100,35.80027777777778,2.3978952727983707,5.886104031450156,0.7479166666666667,0.8333333333333334,0,0,0,1,1,1,1,1,1,Early-Midday
4,0,0,10,422,7,5,11,342.2,1,1,0,12.0,42.2,70,38.36363636363637,100,49.467777777777776,2.3978952727983707,6.0473721790462776,0.8791666666666667,0.8333333333333334,0,0,1,1,1,1,1,1,1,Early-Midday
4,0,0,5,150,2,14,23,165.0,0,0,0,12.0,7.5,10,25.0,25,6.25,1.791759469228055,5.017279836814924,0.3125,0.4166666666666667,0,0,1,4,2,3,2,1,1,Early-Midday
3,0,0,12,353,4,6,16,395.3,1,1,0,12.0,42.36,48,27.153846153846153,144,34.61361111111112,2.5649493574615367,5.869296913133774,0.7354166666666667,1.0,0,0,0,1,1,1,1,1,1,Early-Midday
5,0,0,10,276,3,7,16,327.6,1,1,0,12.0,27.6,30,25.09090909090909,100,21.159999999999997,2.3978952727983707,5.6240175061873385,0.575,0.8333333333333334,0,0,0,1,1,1,1,1,1,Early-Midday
3,0,0,9,313,3,2,12,301.3,1,1,0,12.0,28.17,27,31.3,81,27.213611111111113,2.302585092994046,5.749392985908253,0.6520833333333333,0.75,0,0,0,1,1,1,1,1,1,Early-Midday
6,0,0,6,179,4,13,23,197.9,0,0,0,12.0,10.74,24,25.571428571428573,36,8.900277777777777,1.9459101490553132,5.19295685089021,0.3729166666666667,0.5,0,1,0,4,2,3,2,1,1,Early-Midday
3,0,0,3,62,2,12,20,96.2,0,0,0,12.0,1.86,6,15.5,9,1.067777777777778,1.3862943611198906,4.143134726391533,0.12916666666666668,0.25,0,0,0,3,2,2,1,1,1,Early-Midday
6,0,0,5,88,2,13,17,158.8,0,0,0,12.0,4.4,10,14.666666666666666,25,2.1511111111111108,1.791759469228055,4.48863636973214,0.18333333333333332,0.4166666666666667,0,1,0,4,2,3,2,1,1,Early-Midday
6,0,0,9,229,5,9,18,292.9,1,0,0,12.0,20.61,45,22.9,81,14.566944444444445,2.302585092994046,5.438079308923196,0.47708333333333336,0.75,0,1,0,2,1,2,1,1,1,Early-Midday
6,0,0,11,477,4,3,11,377.7,1,1,0,12.0,52.47,44,39.75,121,63.2025,2.4849066497880004,6.169610732491456,0.99375,0.9166666666666666,0,1,0,1,1,1,1,1,1,Early-Midday
5,0,0,4,65,3,17,23,126.5,0,0,0,12.0,2.6,12,13.0,16,1.173611111111111,1.6094379124341003,4.189654742026425,0.13541666666666666,0.3333333333333333,0,0,0,5,3,4,2,2,2,Afternoon-Evening
2,0,0,4,83,2,17,23,128.3,0,0,0,12.0,3.32,8,16.6,16,1.913611111111111,1.6094379124341003,4.430816798843313,0.17291666666666666,0.3333333333333333,1,0,0,5,3,4,2,2,2,Afternoon-Evening
4,0,0,8,309,3,9,16,270.9,1,1,0,12.0,24.72,24,34.333333333333336,64,26.522500000000004,2.1972245773362196,5.736572297479192,0.64375,0.6666666666666666,0,0,1,2,1,2,1,1,1,Early-Midday
3,0,0,5,66,3,18,23,156.6,0,0,0,12.0,3.3,15,11.0,25,1.2100000000000002,1.791759469228055,4.204692619390966,0.1375,0.4166666666666667,0,0,0,5,3,4,2,2,2,Afternoon-Evening
3,0,0,4,144,2,10,15,134.4,0,0,0,12.0,5.76,8,28.8,16,5.76,1.6094379124341003,4.976733742420574,0.3,0.3333333333333333,0,0,0,2,1,2,1,1,1,Early-Midday
2,0,0,3,83,0,18,23,98.3,0,0,0,12.0,2.49,0,20.75,9,1.913611111111111,1.3862943611198906,4.430816798843313,0.17291666666666666,0.25,1,0,0,5,3,4,2,2,2,Afternoon-Evening
5,0,0,4,132,0,15,21,133.2,0,0,0,12.0,5.28,0,26.4,16,4.840000000000001,1.6094379124341003,4.890349128221754,0.275,0.3333333333333333,0,0,0,4,2,3,2,2,2,Afternoon-Evening
4,0,0,5,290,4,8,12,179.0,1,0,0,12.0,14.5,20,48.333333333333336,25,23.361111111111107,1.791759469228055,5.673323267171493,0.6041666666666666,0.4166666666666667,0,0,1,1,1,1,1,1,1,Early-Midday
4,0,0,12,351,7,5,13,395.1,1,1,0,12.0,42.12,84,27.0,144,34.2225,2.5649493574615367,5.863631175598097,0.73125,1.0,0,0,1,1,1,1,1,1,1,Early-Midday
4,0,0,7,393,4,7,15,249.3,1,1,0,12.0,27.51,28,49.125,49,42.902499999999996,2.0794415416798357,5.976350909297934,0.81875,0.5833333333333334,0,0,1,1,1,1,1,1,1,Early-Midday
3,0,0,11,342,6,6,13,364.2,1,1,0,12.0,37.62,66,28.5,121,32.49,2.4849066497880004,5.8377304471659395,0.7125,0.9166666666666666,0,0,0,1,1,1,1,1,1,Early-Midday
3,0,0,12,342,4,7,15,394.2,1,1,0,12.0,41.04,48,26.307692307692307,144,32.49,2.5649493574615367,5.8377304471659395,0.7125,1.0,0,0,0,1,1,1,1,1,1,Early-Midday
5,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,No Work
2,0,0,7,324,5,2,10,242.4,1,1,0,12.0,22.68,35,40.5,49,29.160000000000004,2.0794415416798357,5.783825182329737,0.675,0.5833333333333334,1,0,0,1,1,1,1,1,1,Early-Midday
2,0,0,3,136,3,13,19,103.6,0,0,0,12.0,4.08,9,34.0,9,5.137777777777777,1.3862943611198906,4.919980925828125,0.2833333333333333,0.25,1,0,0,4,2,3,2,1,1,Early-Midday
3,0,0,4,80,4,12,20,128.0,0,0,0,12.0,3.2,16,16.0,16,1.7777777777777777,1.6094379124341003,4.394449154672439,0.16666666666666666,0.3333333333333333,0,0,0,3,2,2,1,1,1,Early-Midday
6,0,0,5,295,2,10,18,179.5,1,0,0,12.0,14.75,10,49.166666666666664,25,24.173611111111114,1.791759469228055,5.69035945432406,0.6145833333333334,0.4166666666666667,0,1,0,2,1,2,1,1,1,Early-Midday
4,0,0,3,98,0,18,23,99.8,0,0,0,12.0,2.94,0,24.5,9,2.667777777777778,1.3862943611198906,4.59511985013459,0.20416666666666666,0.25,0,0,1,5,3,4,2,2,2,Afternoon-Evening
5,0,0,5,194,3,14,23,169.4,1,0,0,12.0,9.7,15,32.333333333333336,25,10.454444444444444,1.791759469228055,5.272999558563747,0.4041666666666667,0.4166666666666667,0,0,0,4,2,3,2,1,1,Early-Midday
5,0,0,9,448,4,5,11,314.8,1,1,0,12.0,40.32,36,44.8,81,55.751111111111115,2.302585092994046,6.1070228877422545,0.9333333333333333,0.75,0,0,0,1,1,1,1,1,1,Early-Midday
7,1,0,0,0,0,0,0,0.0,0,0,1,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,No Work
6,0,0,8,266,4,4,8,266.6,1,1,0,12.0,21.28,32,29.555555555555557,64,19.654444444444447,2.1972245773362196,5.58724865840025,0.5541666666666667,0.6666666666666666,0,1,0,1,1,1,1,1,1,Early-Midday
2,0,0,4,100,1,19,23,130.0,0,0,0,12.0,4.0,4,20.0,16,2.777777777777778,1.6094379124341003,4.61512051684126,0.20833333333333334,0.3333333333333333,1,0,0,5,3,4,2,2,2,Afternoon-Evening
5,0,0,5,76,2,13,19,157.6,0,0,0,12.0,3.8,10,12.666666666666666,25,1.6044444444444443,1.791759469228055,4.343805421853684,0.15833333333333333,0.4166666666666667,0,0,0,4,2,3,2,1,1,Early-Midday
3,0,0,12,328,5,7,16,392.8,1,1,0,12.0,39.36,60,25.23076923076923,144,29.884444444444444,2.5649493574615367,5.796057750765372,0.6833333333333333,1.0,0,0,0,1,1,1,1,1,1,Early-Midday
6,0,0,8,203,6,8,18,260.3,1,0,0,12.0,16.24,48,22.555555555555557,64,11.446944444444444,2.1972245773362196,5.318119993844216,0.42291666666666666,0.6666666666666666,0,1,0,1,1,1,1,1,1,Early-Midday
2,0,0,6,258,5,11,16,205.8,1,0,0,12.0,15.48,30,36.857142857142854,36,18.49,1.9459101490553132,5.556828061699537,0.5375,0.5,1,0,0,3,2,2,1,1,1,Early-Midday
4,0,0,7,384,6,3,13,248.4,1,1,0,12.0,26.88,42,48.0,49,40.96000000000001,2.0794415416798357,5.953243334287785,0.8,0.5833333333333334,0,0,1,1,1,1,1,1,1,Early-Midday
4,0,0,10,259,7,3,10,325.9,1,1,0,12.0,25.9,70,23.545454545454547,100,18.633611111111108,2.3978952727983707,5.560681631015528,0.5395833333333333,0.8333333333333334,0,0,1,1,1,1,1,1,1,Early-Midday
2,0,0,4,173,2,16,23,137.3,0,0,0,12.0,6.92,8,34.6,16,8.313611111111111,1.6094379124341003,5.159055299214529,0.36041666666666666,0.3333333333333333,1,0,0,4,2,3,2,2,2,Afternoon-Evening
3,0,0,11,384,3,4,12,368.4,1,1,0,12.0,42.24,33,32.0,121,40.96000000000001,2.4849066497880004,5.953243334287785,0.8,0.9166666666666666,0,0,0,1,1,1,1,1,1,Early-Midday
5,0,0,6,131,3,13,18,193.1,0,0,0,12.0,7.86,18,18.714285714285715,36,4.7669444444444435,1.9459101490553132,4.882801922586371,0.27291666666666664,0.5,0,0,0,4,2,3,2,1,1,Early-Midday
4,0,0,12,420,4,1,8,402.0,1,1,0,12.0,50.4,48,32.30769230769231,144,49.0,2.5649493574615367,6.042632833682381,0.875,1.0,0,0,1,1,1,1,1,1,1,Early-Midday
4,0,0,12,442,8,4,10,404.2,1,1,0,12.0,53.04,96,34.0,144,54.26777777777777,2.5649493574615367,6.093569770045136,0.9208333333333333,1.0,0,0,1,1,1,1,1,1,1,Early-Midday
2,0,0,12,417,5,6,10,401.7,1,1,0,12.0,50.04,60,32.07692307692308,144,48.3025,2.5649493574615367,6.035481432524756,0.86875,1.0,1,0,0,1,1,1,1,1,1,Early-Midday
4,0,0,8,242,4,9,13,264.2,1,1,0,12.0,19.36,32,26.88888888888889,64,16.267777777777777,2.1972245773362196,5.493061443340548,0.5041666666666667,0.6666666666666666,0,0,1,2,1,2,1,1,1,Early-Midday
2,0,0,12,476,4,6,12,407.6,1,1,0,12.0,57.12,48,36.61538461538461,144,62.93777777777778,2.5649493574615367,6.1675164908883415,0.9916666666666667,1.0,1,0,0,1,1,1,1,1,1,Early-Midday
2,0,0,6,175,1,14,18,197.5,0,0,0,12.0,10.5,6,25.0,36,8.506944444444443,1.9459101490553132,5.170483995038151,0.3645833333333333,0.5,1,0,0,4,2,3,2,1,1,Early-Midday
5,0,0,11,421,3,5,11,372.1,1,1,0,12.0,46.31,33,35.083333333333336,121,49.23361111111111,2.4849066497880004,6.045005314036012,0.8770833333333333,0.9166666666666666,0,0,0,1,1,1,1,1,1,Early-Midday
4,0,0,5,266,4,8,18,176.6,1,0,0,12.0,13.3,20,44.333333333333336,25,19.654444444444447,1.791759469228055,5.58724865840025,0.5541666666666667,0.4166666666666667,0,0,1,1,1,1,1,1,1,Early-Midday
2,0,0,2,98,0,17,21,69.8,0,0,0,12.0,1.96,0,32.666666666666664,4,2.667777777777778,1.0986122886681098,4.59511985013459,0.20416666666666666,0.16666666666666666,1,0,0,5,3,4,2,2,2,Afternoon-Evening
6,0,0,5,169,3,13,17,166.9,0,0,0,12.0,8.45,15,28.166666666666668,25,7.933611111111112,1.791759469228055,5.135798437050262,0.35208333333333336,0.4166666666666667,0,1,0,4,2,3,2,1,1,Early-Midday
5,0,0,3,210,4,12,17,111.0,1,0,0,12.0,6.3,12,52.5,9,12.25,1.3862943611198906,5.351858133476067,0.4375,0.25,0,0,0,3,2,2,1,1,1,Early-Midday
6,0,0,11,410,4,3,11,371.0,1,1,0,12.0,45.1,44,34.166666666666664,121,46.69444444444444,2.4849066497880004,6.018593214496234,0.8541666666666666,0.9166666666666666,0,1,0,1,1,1,1,1,1,Early-Midday
6,0,0,12,328,6,2,10,392.8,1,1,0,12.0,39.36,72,25.23076923076923,144,29.884444444444444,2.5649493574615367,5.796057750765372,0.6833333333333333,1.0,0,1,0,1,1,1,1,1,1,Early-Midday
6,0,0,8,465,7,1,10,286.5,1,1,0,12.0,37.2,56,51.666666666666664,64,60.0625,2.1972245773362196,6.144185634125646,0.96875,0.6666666666666666,0,1,0,1,1,1,1,1,1,Early-Midday
6,0,0,11,457,4,4,10,375.7,1,1,0,12.0,50.27,44,38.083333333333336,121,58.0136111111111,2.4849066497880004,6.126869184114185,0.9520833333333333,0.9166666666666666,0,1,0,1,1,1,1,1,1,Early-Midday
5,0,0,2,123,1,18,23,72.3,0,0,0,12.0,2.46,2,41.0,4,4.2025,1.0986122886681098,4.820281565605037,0.25625,0.16666666666666666,0,0,0,5,3,4,2,2,2,Afternoon-Evening
2,0,0,5,333,2,9,14,183.3,1,0,0,12.0,16.65,10,55.5,25,30.8025,1.791759469228055,5.811140992976701,0.69375,0.4166666666666667,1,0,0,2,1,2,1,1,1,Early-Midday
2,0,0,4,73,2,17,23,127.3,0,0,0,12.0,2.92,8,14.6,16,1.4802777777777776,1.6094379124341003,4.30406509320417,0.15208333333333332,0.3333333333333333,1,0,0,5,3,4,2,2,2,Afternoon-Evening
4,0,0,5,350,2,8,14,185.0,1,0,0,12.0,17.5,10,58.333333333333336,25,34.02777777777777,1.791759469228055,5.860786223465865,0.7291666666666666,0.4166666666666667,0,0,1,1,1,1,1,1,1,Early-Midday
4,0,0,3,66,1,18,23,96.6,0,0,0,12.0,1.98,3,16.5,9,1.2100000000000002,1.3862943611198906,4.204692619390966,0.1375,0.25,0,0,1,5,3,4,2,2,2,Afternoon-Evening
3,0,0,7,460,8,1,7,256.0,1,1,0,12.0,32.2,56,57.5,49,58.777777777777786,2.0794415416798357,6.133398042996649,0.9583333333333334,0.5833333333333334,0,0,0,1,1,1,1,1,1,Early-Midday
3,0,0,4,162,4,13,19,136.2,0,0,0,12.0,6.48,16,32.4,16,7.290000000000001,1.6094379124341003,5.093750200806762,0.3375,0.3333333333333333,0,0,0,4,2,3,2,1,1,Early-Midday
5,0,0,2,50,1,18,23,65.0,0,0,0,12.0,1.0,2,16.666666666666668,4,0.6944444444444445,1.0986122886681098,3.9318256327243257,0.10416666666666667,0.16666666666666666,0,0,0,5,3,4,2,2,2,Afternoon-Evening
6,0,0,6,272,6,9,16,207.2,1,0,0,12.0,16.32,36,38.857142857142854,36,20.55111111111111,1.9459101490553132,5.60947179518496,0.5666666666666667,0.5,0,1,0,2,1,2,1,1,1,Early-Midday
2,0,0,5,194,3,10,19,169.4,1,0,0,12.0,9.7,15,32.333333333333336,25,10.454444444444444,1.791759469228055,5.272999558563747,0.4041666666666667,0.4166666666666667,1,0,0,2,1,2,1,1,1,Early-Midday
4,0,0,5,137,4,11,17,163.7,0,0,0,12.0,6.85,20,22.833333333333332,25,5.213611111111111,1.791759469228055,4.927253685157205,0.28541666666666665,0.4166666666666667,0,0,1,3,2,2,1,1,1,Early-Midday
3,0,0,9,209,6,8,17,290.9,1,0,0,12.0,18.81,54,20.9,81,12.133611111111112,2.302585092994046,5.3471075307174685,0.4354166666666667,0.75,0,0,0,1,1,1,1,1,1,Early-Midday
2,0,0,7,247,5,8,17,234.7,1,1,0,12.0,17.29,35,30.875,49,16.94694444444444,2.0794415416798357,5.5134287461649825,0.5145833333333333,0.5833333333333334,1,0,0,1,1,1,1,1,1,Early-Midday
5,0,0,5,137,3,15,23,163.7,0,0,0,12.0,6.85,15,22.833333333333332,25,5.213611111111111,1.791759469228055,4.927253685157205,0.28541666666666665,0.4166666666666667,0,0,0,4,2,3,2,2,2,Afternoon-Evening
2,0,0,3,98,2,12,22,99.8,0,0,0,12.0,2.94,6,24.5,9,2.667777777777778,1.3862943611198906,4.59511985013459,0.20416666666666666,0.25,1,0,0,3,2,2,1,1,1,Early-Midday
4,0,0,10,331,3,2,6,333.1,1,1,0,12.0,33.1,30,30.09090909090909,100,30.43361111111111,2.3978952727983707,5.805134968916488,0.6895833333333333,0.8333333333333334,0,0,1,1,1,1,1,1,1,Early-Midday
6,0,1,6,66,2,12,21,186.6,0,0,2,12.0,3.96,12,9.428571428571429,36,1.2100000000000002,1.9459101490553132,4.204692619390966,0.1375,0.5,0,1,0,3,2,2,1,1,1,Early-Midday
6,0,0,10,475,8,7,16,347.5,1,1,0,12.0,47.5,80,43.18181818181818,100,62.673611111111114,2.3978952727983707,6.16541785423142,0.9895833333333334,0.8333333333333334,0,1,0,1,1,1,1,1,1,Early-Midday
5,0,0,3,187,3,14,23,108.7,1,0,0,12.0,5.61,9,46.75,9,9.713611111111112,1.3862943611198906,5.236441962829949,0.38958333333333334,0.25,0,0,0,4,2,3,2,1,1,Early-Midday
4,0,0,4,126,2,14,20,132.6,0,0,0,12.0,5.04,8,25.2,16,4.41,1.6094379124341003,4.844187086458591,0.2625,0.3333333333333333,0,0,1,4,2,3,2,1,1,Early-Midday
2,0,0,2,45,0,20,23,64.5,0,0,0,12.0,0.9,0,15.0,4,0.5625,1.0986122886681098,3.828641396489095,0.09375,0.16666666666666666,1,0,0,5,3,4,2,2,2,Afternoon-Evening
6,0,0,5,125,1,12,19,162.5,0,0,0,12.0,6.25,5,20.833333333333332,25,4.340277777777779,1.791759469228055,4.836281906951478,0.2604166666666667,0.4166666666666667,0,1,0,3,2,2,1,1,1,Early-Midday
2,0,0,5,99,3,18,23,159.9,0,0,0,12.0,4.95,15,16.5,25,2.7224999999999997,1.791759469228055,4.605170185988092,0.20625,0.4166666666666667,1,0,0,5,3,4,2,2,2,Afternoon-Evening
3,0,0,3,229,1,12,18,112.9,1,0,0,12.0,6.87,3,57.25,9,14.566944444444445,1.3862943611198906,5.438079308923196,0.47708333333333336,0.25,0,0,0,3,2,2,1,1,1,Early-Midday
6,0,0,7,381,3,7,13,248.1,1,1,0,12.0,26.67,21,47.625,49,40.3225,2.0794415416798357,5.945420608606575,0.79375,0.5833333333333334,0,1,0,1,1,1,1,1,1,Early-Midday
5,0,1,5,178,0,19,23,167.8,0,0,2,12.0,8.9,0,29.666666666666668,25,8.801111111111112,1.791759469228055,5.187385805840755,0.37083333333333335,0.4166666666666667,0,0,0,5,3,4,2,2,2,Afternoon-Evening
2,0,0,7,278,4,10,17,237.8,1,1,0,12.0,19.46,28,34.75,49,21.46777777777778,2.0794415416798357,5.631211781821365,0.5791666666666667,0.5833333333333334,1,0,0,2,1,2,1,1,1,Early-Midday
2,0,0,12,333,5,2,11,393.3,1,1,0,12.0,39.96,60,25.615384615384617,144,30.8025,2.5649493574615367,5.811140992976701,0.69375,1.0,1,0,0,1,1,1,1,1,1,Early-Midday
4,0,0,4,41,2,16,20,124.1,0,0,0,12.0,1.64,8,8.2,16,0.46694444444444444,1.6094379124341003,3.7376696182833684,0.08541666666666667,0.3333333333333333,0,0,1,4,2,3,2,2,2,Afternoon-Evening
4,0,0,3,91,2,13,21,99.1,0,0,0,12.0,2.73,6,22.75,9,2.3002777777777776,1.3862943611198906,4.5217885770490405,0.18958333333333333,0.25,0,0,1,4,2,3,2,1,1,Early-Midday
